corruption_id,happiness_id,institutional_trust,perceived_corruption
338,338,0.0368729270994663,0.9631270729005337
339,339,0.059739887714386,0.940260112285614
340,340,0.132774114608765,0.867225885391235
341,341,0.46430778503418,0.53569221496582
342,342,0.153066068887711,0.846933931112289
343,343,0.178061872720718,0.8219381272792821
344,344,0.0772232785820961,0.9227767214179039
345,345,0.070983923971653,0.929016076028347
346,346,0.172502428293228,0.827497571706772
347,347,0.0316127352416515,0.9683872647583485
348,348,0.0638292357325554,0.9361707642674446
349,349,0.0709140971302986,0.9290859028697014
350,350,0.439299255609512,0.560700744390488
351,351,0.0466687418520451,0.9533312581479549
352,352,0.27343225479126,0.72656774520874
353,353,0.0089648161083459,0.9910351838916541
354,354,0.215159550309181,0.784840449690819
355,355,0.0242108516395092,0.9757891483604908
356,356,0.257042169570923,0.7429578304290769
357,357,0.0656007081270218,0.9343992918729782
358,358,0.130687981843948,0.869312018156052
359,359,0.140134647488594,0.859865352511406
360,360,0.0899809598922729,0.910019040107727
361,361,0.0593078061938286,0.9406921938061714
362,362,0.246528223156929,0.753471776843071
363,363,0.0280280914157629,0.9719719085842371
364,364,0.0329628810286522,0.9670371189713478
365,365,0.0965810716152191,0.9034189283847809
366,366,0.163760736584663,0.836239263415337
367,367,0.0118656428530812,0.9881343571469188
368,368,0.146096110343933,0.853903889656067
369,369,0.0738427266478539,0.9261572733521461
370,370,0.0632826685905457,0.9367173314094543
371,371,0.0100912861526012,0.9899087138473988
372,372,0.00438790069893,0.99561209930107
373,373,0.0604777261614799,0.93952227383852
374,374,0.259270340204239,0.740729659795761
375,375,0.119282886385918,0.880717113614082
376,376,0.155353352427483,0.844646647572517
377,377,0.0451289787888527,0.9548710212111473
378,378,0.0470490865409374,0.9529509134590626
379,379,0.0421815551817417,0.9578184448182583
380,380,0.0412379764020443,0.9587620235979557
381,381,0.183248922228813,0.816751077771187
382,382,0.156313821673393,0.843686178326607
383,383,0.0926102101802826,0.9073897898197174
384,384,0.0996715798974037,0.9003284201025963
385,385,0.091065913438797,0.908934086561203
386,386,0.293933749198914,0.706066250801086
387,387,0.0993318930268288,0.9006681069731712
388,388,0.0409037806093693,0.9590962193906307
389,389,0.11980327218771,0.88019672781229
390,390,0.0366369374096394,0.9633630625903606
391,391,0.0552677810192108,0.9447322189807892
392,392,0.0431031100451946,0.9568968899548054
393,393,0.0574716180562973,0.9425283819437027
394,394,0.0227942746132612,0.9772057253867388
395,395,0.124348066747189,0.875651933252811
396,396,0.0153171354904771,0.9846828645095229
397,397,0.0644911229610443,0.9355088770389557
398,398,0.0881741940975189,0.9118258059024811
399,399,0.0877631828188896,0.9122368171811104
400,400,0.180987507104874,0.819012492895126
401,401,0.113945253193378,0.886054746806622
402,402,0.04328977689147,0.95671022310853
403,403,0.037513829767704,0.962486170232296
404,404,0.0158694516867399,0.9841305483132601
405,405,0.0,1.0
406,406,0.0733454525470734,0.9266545474529266
407,407,0.0602777935564518,0.9397222064435482
408,408,0.282410323619843,0.717589676380157
409,409,0.0876332372426987,0.9123667627573013
410,410,0.0261215660721064,0.9738784339278936
411,411,0.146377146244049,0.853622853755951
412,412,0.173380389809608,0.826619610190392
413,413,0.0394391790032387,0.9605608209967613
414,414,0.0729755461215973,0.9270244538784027
415,415,0.0329022891819477,0.9670977108180523
416,416,0.0725094974040985,0.9274905025959015
417,417,0.0867231488227844,0.9132768511772156
418,418,0.0892826020717621,0.9107173979282379
419,419,0.114381365478039,0.885618634521961
420,420,0.0110515309497714,0.9889484690502286
421,421,0.0710951760411263,0.9289048239588737
422,422,0.0513066314160824,0.9486933685839176
423,423,0.048761073499918,0.951238926500082
424,424,0.0398642159998417,0.9601357840001583
425,425,0.123717859387398,0.876282140612602
426,426,0.0931469723582268,0.9068530276417732
427,427,0.0646413192152977,0.9353586807847023
428,428,0.179436385631561,0.8205636143684389
429,429,0.188816204667091,0.811183795332909
430,430,0.115460447967052,0.884539552032948
431,431,0.0782135501503944,0.9217864498496056
432,432,0.107215754687786,0.892784245312214
433,433,0.0760467872023582,0.9239532127976418
434,434,0.165455713868141,0.834544286131859
435,435,0.0736539661884308,0.9263460338115692
436,436,0.0266744215041399,0.9733255784958601
437,437,0.0922268852591515,0.9077731147408485
438,438,0.136957004666328,0.863042995333672
439,439,0.0796181336045265,0.9203818663954735
440,440,0.251666635274887,0.748333364725113
441,441,0.0602413564920425,0.9397586435079575
442,442,0.104970246553421,0.895029753446579
443,443,0.130061775445938,0.869938224554062
444,444,0.0681059509515762,0.9318940490484238
445,445,0.089847519993782,0.910152480006218
446,446,0.0253363698720932,0.9746636301279068
447,447,0.0230294708162546,0.9769705291837454
448,448,0.057069718837738,0.942930281162262
449,449,0.120328105986118,0.879671894013882
450,450,0.138572946190834,0.861427053809166
451,451,0.0727116540074348,0.9272883459925652
452,452,0.0535818822681904,0.9464181177318096
453,453,0.0953753814101219,0.9046246185898781
454,454,0.119094640016556,0.880905359983444
455,455,0.0697203353047371,0.9302796646952629
456,456,0.0611578300595284,0.9388421699404716
457,457,0.0985831990838051,0.9014168009161949
458,458,0.0609290152788162,0.9390709847211838
459,459,0.0672319754958153,0.9327680245041847
460,460,0.0998721495270729,0.9001278504729271
461,461,0.0567674227058887,0.9432325772941113
462,462,0.116793513298035,0.883206486701965
463,463,0.0389482490718365,0.9610517509281635
464,464,0.110937617719173,0.889062382280827
465,465,0.0956650152802467,0.9043349847197533
466,466,0.455220013856888,0.544779986143112
467,467,0.151347130537033,0.848652869462967
468,468,0.0660351067781448,0.9339648932218552
469,469,0.0841479450464249,0.9158520549535751
470,470,0.0565650761127472,0.9434349238872528
471,471,0.393,0.607
472,472,0.34,0.6599999999999999
473,473,0.408,0.5920000000000001
474,474,0.138,0.862
475,475,0.357,0.643
476,476,0.295,0.7050000000000001
477,477,0.291,0.7090000000000001
478,478,0.389,0.611
479,479,0.383,0.617
480,480,0.302,0.698
481,481,0.082,0.918
482,482,0.224,0.776
483,483,0.101,0.899
484,484,0.306,0.694
485,485,0.28,0.72
486,486,0.24,0.76
487,487,0.321,0.679
488,488,0.133,0.867
489,489,0.272,0.728
490,490,0.091,0.909
491,491,0.034,0.966
492,492,0.142,0.858
493,493,0.176,0.8240000000000001
494,494,0.095,0.905
495,495,0.061,0.9390000000000001
496,496,0.078,0.922
497,497,0.063,0.937
498,498,0.088,0.912
499,499,0.054,0.946
500,500,0.071,0.929
501,501,0.155,0.845
502,502,0.171,0.829
503,503,0.127,0.873
504,504,0.457,0.5429999999999999
505,505,0.059,0.9410000000000001
506,506,0.074,0.926
507,507,0.039,0.961
508,508,0.019,0.981
509,509,0.014,0.986
510,510,0.082,0.918
511,511,0.128,0.872
512,512,0.064,0.9359999999999999
513,513,0.123,0.877
514,514,0.259,0.741
515,515,0.106,0.894
516,516,0.029,0.971
517,517,0.028,0.972
518,518,0.12,0.88
519,519,0.089,0.911
520,520,0.006,0.994
521,521,0.051,0.949
522,522,0.001,0.999
523,523,0.066,0.9339999999999999
524,524,0.15,0.85
525,525,0.05,0.95
526,526,0.031,0.969
527,527,0.051,0.949
528,528,0.154,0.846
529,529,0.025,0.975
530,530,0.121,0.879
531,531,0.035,0.965
532,532,0.054,0.946
533,533,0.174,0.8260000000000001
534,534,0.074,0.926
535,535,0.034,0.966
536,536,0.023,0.977
537,537,0.0,1.0
538,538,0.037,0.963
539,539,0.022,0.978
540,540,0.148,0.852
541,541,0.105,0.895
542,542,0.074,0.926
543,543,0.154,0.846
544,544,0.109,0.891
545,545,0.113,0.887
546,546,0.291,0.7090000000000001
547,547,0.017,0.983
548,548,0.043,0.957
549,549,0.044,0.956
550,550,0.136,0.864
551,551,0.081,0.919
552,552,0.039,0.961
553,553,0.106,0.894
554,554,0.135,0.865
555,555,0.074,0.926
556,556,0.103,0.897
557,557,0.176,0.8240000000000001
558,558,0.034,0.966
559,559,0.052,0.948
560,560,0.134,0.866
561,561,0.032,0.968
562,562,0.035,0.965
563,563,0.0,1.0
564,564,0.032,0.968
565,565,0.079,0.921
566,566,0.018,0.982
567,567,0.171,0.829
568,568,0.282,0.718
569,569,0.043,0.957
570,570,0.009,0.991
571,571,0.078,0.922
572,572,0.052,0.948
573,573,0.052,0.948
574,574,0.076,0.924
575,575,0.056,0.944
576,576,0.129,0.871
577,577,0.103,0.897
578,578,0.029,0.971
579,579,0.082,0.918
580,580,0.174,0.8260000000000001
